lat,lon,gyms
28.45355,-82.59743,Gracie Spring Hill
28.107,-82.76913,Gracie Palm Harbor
28.185230,-82.407288,Gracie Wesley Chapel
27.4945,-82.49527,Gracie Bradenton
28.0209,-82.73899,Gracie Clearwater
28.137100,-82.462520,Gracie Tampa HQ
27.814590,-82.671400,Gracie St Pete
28.03864,-82.52993,Gracie Pac
27.94855,-82.49841,Gracie Tampa South
27.7516,-82.41245,Gracie Apollo Beach
27.880670,-82.329520,Gracie Brandon
41.82399,-72.87691,Gracie Farmington Valley
32.43968,-90.11125,Gracie South
40.83371,-73.85422,Jungle Gym
41.67248,-73.80258,Precision MMA
41.60792,-73.831596,Black Hole Jiu Jitsu
41.410470,-73.097130,Black Hole Jiu Jitsu CT
28.029740,-82.637840,Gracie Westchase
27.893740,-82.687790,Gracie Largo
27.277110,-82.480330,Fellowship Jiu Jitsu
27.522320,-82.557890,North River Jiu Jitsu 
